x,y,生态类型,生态属性,人口,人员信息,农场数量,农场信息,生态名称
83,56,land,house,1,"[{'age': 60, 'gender': 'female'}]",2,"[{""featureType"": ""livestock"", ""position"": [0, 2], ""size"": [2, 2], ""count"": 7, ""farmBiome"": {""position"": [83, 56], ""envi"": ""land"", ""house"": null, ""plant"": null, ""animal"": ""狐狸"", ""biomeType"": ""animal""}}, {""featureType"": ""landFarm"", ""position"": [2, 2], ""size"": [2, 2], ""count"": 5, ""farmBiome"": {""position"": [83, 56], ""envi"": ""land"", ""house"": null, ""plant"": ""灌木"", ""animal"": null, ""biomeType"": ""plant""}}]",
76,46,land,house,1,"[{'age': 69, 'gender': 'male'}]",1,"[{""featureType"": ""pond"", ""position"": [0, 2], ""size"": [2, 2], ""count"": 8, ""farmBiome"": {""position"": [76, 46], ""envi"": ""land"", ""house"": null, ""plant"": null, ""animal"": ""松鼠"", ""biomeType"": ""animal""}}]",
76,46,land,house,1,"[{'age': 69, 'gender': 'male'}]",1,"[{""featureType"": ""pond"", ""position"": [0, 2], ""size"": [2, 2], ""count"": 8, ""farmBiome"": {""position"": [76, 46], ""envi"": ""land"", ""house"": null, ""plant"": null, ""animal"": ""松鼠"", ""biomeType"": ""animal""}}]",
90,43,land,house,3,"[{'age': 29, 'gender': 'male'}, {'age': 3, 'gender': 'male'}, {'age': 51, 'gender': 'female'}]",1,"[{""featureType"": ""livestock"", ""position"": [0, 2], ""size"": [2, 2], ""count"": 5, ""farmBiome"": {""position"": [90, 43], ""envi"": ""land"", ""house"": null, ""plant"": null, ""animal"": ""狐狸"", ""biomeType"": ""animal""}}]",
90,43,land,house,3,"[{'age': 29, 'gender': 'male'}, {'age': 3, 'gender': 'male'}, {'age': 51, 'gender': 'female'}]",1,"[{""featureType"": ""livestock"", ""position"": [0, 2], ""size"": [2, 2], ""count"": 5, ""farmBiome"": {""position"": [90, 43], ""envi"": ""land"", ""house"": null, ""plant"": null, ""animal"": ""狐狸"", ""biomeType"": ""animal""}}]",
68,30,land,house,4,"[{'age': 55, 'gender': 'female'}, {'age': 64, 'gender': 'male'}, {'age': 45, 'gender': 'male'}, {'age': 20, 'gender': 'female'}]",2,"[{""featureType"": ""landFarm"", ""position"": [0, 2], ""size"": [2, 2], ""count"": 5, ""farmBiome"": {""position"": [68, 30], ""envi"": ""land"", ""house"": null, ""plant"": ""玉米"", ""animal"": null, ""biomeType"": ""plant""}}, {""featureType"": ""pond"", ""position"": [2, 2], ""size"": [2, 2], ""count"": 6, ""farmBiome"": {""position"": [68, 30], ""envi"": ""land"", ""house"": null, ""plant"": null, ""animal"": ""野兔"", ""biomeType"": ""animal""}}]",
68,30,land,house,4,"[{'age': 55, 'gender': 'female'}, {'age': 64, 'gender': 'male'}, {'age': 45, 'gender': 'male'}, {'age': 20, 'gender': 'female'}]",2,"[{""featureType"": ""landFarm"", ""position"": [0, 2], ""size"": [2, 2], ""count"": 5, ""farmBiome"": {""position"": [68, 30], ""envi"": ""land"", ""house"": null, ""plant"": ""玉米"", ""animal"": null, ""biomeType"": ""plant""}}, {""featureType"": ""pond"", ""position"": [2, 2], ""size"": [2, 2], ""count"": 6, ""farmBiome"": {""position"": [68, 30], ""envi"": ""land"", ""house"": null, ""plant"": null, ""animal"": ""野兔"", ""biomeType"": ""animal""}}]",
81,30,land,house,2,"[{'age': 61, 'gender': 'female'}, {'age': 5, 'gender': 'female'}]",2,"[{""featureType"": ""landFarm"", ""position"": [0, 2], ""size"": [2, 2], ""count"": 5, ""farmBiome"": {""position"": [81, 30], ""envi"": ""land"", ""house"": null, ""plant"": ""枫树"", ""animal"": null, ""biomeType"": ""plant""}}, {""featureType"": ""livestock"", ""position"": [2, 2], ""size"": [2, 2], ""count"": 5, ""farmBiome"": {""position"": [81, 30], ""envi"": ""land"", ""house"": null, ""plant"": null, ""animal"": ""野兔"", ""biomeType"": ""animal""}}]",
81,30,land,house,2,"[{'age': 61, 'gender': 'female'}, {'age': 5, 'gender': 'female'}]",2,"[{""featureType"": ""landFarm"", ""position"": [0, 2], ""size"": [2, 2], ""count"": 5, ""farmBiome"": {""position"": [81, 30], ""envi"": ""land"", ""house"": null, ""plant"": ""枫树"", ""animal"": null, ""biomeType"": ""plant""}}, {""featureType"": ""livestock"", ""position"": [2, 2], ""size"": [2, 2], ""count"": 5, ""farmBiome"": {""position"": [81, 30], ""envi"": ""land"", ""house"": null, ""plant"": null, ""animal"": ""野兔"", ""biomeType"": ""animal""}}]",
93,21,land,house,2,"[{'age': 42, 'gender': 'female'}, {'age': 21, 'gender': 'female'}]",1,"[{""featureType"": ""seaFarm"", ""position"": [0, 2], ""size"": [2, 2], ""count"": 8, ""farmBiome"": {""position"": [93, 21], ""envi"": ""land"", ""house"": null, ""plant"": ""小麦"", ""animal"": null, ""biomeType"": ""plant""}}]",
93,21,land,house,2,"[{'age': 42, 'gender': 'female'}, {'age': 21, 'gender': 'female'}]",1,"[{""featureType"": ""seaFarm"", ""position"": [0, 2], ""size"": [2, 2], ""count"": 8, ""farmBiome"": {""position"": [93, 21], ""envi"": ""land"", ""house"": null, ""plant"": ""小麦"", ""animal"": null, ""biomeType"": ""plant""}}]",
88,9,land,house,3,"[{'age': 79, 'gender': 'female'}, {'age': 63, 'gender': 'female'}, {'age': 44, 'gender': 'male'}]",1,"[{""featureType"": ""pond"", ""position"": [0, 2], ""size"": [2, 2], ""count"": 7, ""farmBiome"": {""position"": [88, 9], ""envi"": ""land"", ""house"": null, ""plant"": null, ""animal"": ""鸡"", ""biomeType"": ""animal""}}]",
88,9,land,house,3,"[{'age': 79, 'gender': 'female'}, {'age': 63, 'gender': 'female'}, {'age': 44, 'gender': 'male'}]",1,"[{""featureType"": ""pond"", ""position"": [0, 2], ""size"": [2, 2], ""count"": 7, ""farmBiome"": {""position"": [88, 9], ""envi"": ""land"", ""house"": null, ""plant"": null, ""animal"": ""鸡"", ""biomeType"": ""animal""}}]",
5,21,land,house,3,"[{'age': 38, 'gender': 'male'}, {'age': 4, 'gender': 'female'}, {'age': 66, 'gender': 'male'}]",1,"[{""featureType"": ""pond"", ""position"": [0, 2], ""size"": [2, 2], ""count"": 5, ""farmBiome"": {""position"": [5, 21], ""envi"": ""land"", ""house"": null, ""plant"": null, ""animal"": ""野兔"", ""biomeType"": ""animal""}}]",
5,21,land,house,3,"[{'age': 38, 'gender': 'male'}, {'age': 4, 'gender': 'female'}, {'age': 66, 'gender': 'male'}]",1,"[{""featureType"": ""pond"", ""position"": [0, 2], ""size"": [2, 2], ""count"": 5, ""farmBiome"": {""position"": [5, 21], ""envi"": ""land"", ""house"": null, ""plant"": null, ""animal"": ""野兔"", ""biomeType"": ""animal""}}]",
15,29,land,house,2,"[{'age': 25, 'gender': 'male'}, {'age': 23, 'gender': 'female'}]",1,"[{""featureType"": ""livestock"", ""position"": [0, 2], ""size"": [2, 2], ""count"": 4, ""farmBiome"": {""position"": [15, 29], ""envi"": ""land"", ""house"": null, ""plant"": null, ""animal"": ""松鼠"", ""biomeType"": ""animal""}}]",
15,29,land,house,2,"[{'age': 25, 'gender': 'male'}, {'age': 23, 'gender': 'female'}]",1,"[{""featureType"": ""livestock"", ""position"": [0, 2], ""size"": [2, 2], ""count"": 4, ""farmBiome"": {""position"": [15, 29], ""envi"": ""land"", ""house"": null, ""plant"": null, ""animal"": ""松鼠"", ""biomeType"": ""animal""}}]",
5,34,land,house,3,"[{'age': 51, 'gender': 'male'}, {'age': 37, 'gender': 'female'}, {'age': 41, 'gender': 'female'}]",2,"[{""featureType"": ""pond"", ""position"": [0, 2], ""size"": [2, 2], ""count"": 8, ""farmBiome"": {""position"": [5, 34], ""envi"": ""land"", ""house"": null, ""plant"": null, ""animal"": ""熊"", ""biomeType"": ""animal""}}, {""featureType"": ""landFarm"", ""position"": [2, 2], ""size"": [2, 2], ""count"": 5, ""farmBiome"": {""position"": [5, 34], ""envi"": ""land"", ""house"": null, ""plant"": ""土豆"", ""animal"": null, ""biomeType"": ""plant""}}]",
5,34,land,house,3,"[{'age': 51, 'gender': 'male'}, {'age': 37, 'gender': 'female'}, {'age': 41, 'gender': 'female'}]",2,"[{""featureType"": ""pond"", ""position"": [0, 2], ""size"": [2, 2], ""count"": 8, ""farmBiome"": {""position"": [5, 34], ""envi"": ""land"", ""house"": null, ""plant"": null, ""animal"": ""熊"", ""biomeType"": ""animal""}}, {""featureType"": ""landFarm"", ""position"": [2, 2], ""size"": [2, 2], ""count"": 5, ""farmBiome"": {""position"": [5, 34], ""envi"": ""land"", ""house"": null, ""plant"": ""土豆"", ""animal"": null, ""biomeType"": ""plant""}}]",
10,48,land,house,3,"[{'age': 42, 'gender': 'female'}, {'age': 46, 'gender': 'male'}, {'age': 38, 'gender': 'male'}]",1,"[{""featureType"": ""livestock"", ""position"": [0, 2], ""size"": [2, 2], ""count"": 8, ""farmBiome"": {""position"": [10, 48], ""envi"": ""land"", ""house"": null, ""plant"": null, ""animal"": ""松鼠"", ""biomeType"": ""animal""}}]",
10,48,land,house,3,"[{'age': 42, 'gender': 'female'}, {'age': 46, 'gender': 'male'}, {'age': 38, 'gender': 'male'}]",1,"[{""featureType"": ""livestock"", ""position"": [0, 2], ""size"": [2, 2], ""count"": 8, ""farmBiome"": {""position"": [10, 48], ""envi"": ""land"", ""house"": null, ""plant"": null, ""animal"": ""松鼠"", ""biomeType"": ""animal""}}]",
7,63,land,house,4,"[{'age': 62, 'gender': 'male'}, {'age': 17, 'gender': 'male'}, {'age': 27, 'gender': 'male'}, {'age': 17, 'gender': 'female'}]",2,"[{""featureType"": ""landFarm"", ""position"": [0, 2], ""size"": [2, 2], ""count"": 7, ""farmBiome"": {""position"": [7, 63], ""envi"": ""land"", ""house"": null, ""plant"": ""铃兰"", ""animal"": null, ""biomeType"": ""plant""}}, {""featureType"": ""livestock"", ""position"": [2, 2], ""size"": [2, 2], ""count"": 8, ""farmBiome"": {""position"": [7, 63], ""envi"": ""land"", ""house"": null, ""plant"": null, ""animal"": ""猪"", ""biomeType"": ""animal""}}]",
7,63,land,house,4,"[{'age': 62, 'gender': 'male'}, {'age': 17, 'gender': 'male'}, {'age': 27, 'gender': 'male'}, {'age': 17, 'gender': 'female'}]",2,"[{""featureType"": ""landFarm"", ""position"": [0, 2], ""size"": [2, 2], ""count"": 7, ""farmBiome"": {""position"": [7, 63], ""envi"": ""land"", ""house"": null, ""plant"": ""铃兰"", ""animal"": null, ""biomeType"": ""plant""}}, {""featureType"": ""livestock"", ""position"": [2, 2], ""size"": [2, 2], ""count"": 8, ""farmBiome"": {""position"": [7, 63], ""envi"": ""land"", ""house"": null, ""plant"": null, ""animal"": ""猪"", ""biomeType"": ""animal""}}]",
14,84,land,house,2,"[{'age': 61, 'gender': 'male'}, {'age': 80, 'gender': 'male'}]",1,"[{""featureType"": ""pond"", ""position"": [0, 2], ""size"": [2, 2], ""count"": 4, ""farmBiome"": {""position"": [14, 84], ""envi"": ""land"", ""house"": null, ""plant"": null, ""animal"": ""鹿"", ""biomeType"": ""animal""}}]",
14,84,land,house,2,"[{'age': 61, 'gender': 'male'}, {'age': 80, 'gender': 'male'}]",1,"[{""featureType"": ""pond"", ""position"": [0, 2], ""size"": [2, 2], ""count"": 4, ""farmBiome"": {""position"": [14, 84], ""envi"": ""land"", ""house"": null, ""plant"": null, ""animal"": ""鹿"", ""biomeType"": ""animal""}}]",
4,78,land,house,1,"[{'age': 24, 'gender': 'male'}]",1,"[{""featureType"": ""livestock"", ""position"": [0, 2], ""size"": [2, 2], ""count"": 5, ""farmBiome"": {""position"": [4, 78], ""envi"": ""land"", ""house"": null, ""plant"": null, ""animal"": ""鸡"", ""biomeType"": ""animal""}}]",
4,78,land,house,1,"[{'age': 24, 'gender': 'male'}]",1,"[{""featureType"": ""livestock"", ""position"": [0, 2], ""size"": [2, 2], ""count"": 5, ""farmBiome"": {""position"": [4, 78], ""envi"": ""land"", ""house"": null, ""plant"": null, ""animal"": ""鸡"", ""biomeType"": ""animal""}}]",
3,96,land,house,2,"[{'age': 15, 'gender': 'male'}, {'age': 9, 'gender': 'female'}]",1,"[{""featureType"": ""landFarm"", ""position"": [0, 2], ""size"": [2, 2], ""count"": 6, ""farmBiome"": {""position"": [3, 96], ""envi"": ""land"", ""house"": null, ""plant"": ""灌木"", ""animal"": null, ""biomeType"": ""plant""}}]",
3,96,land,house,2,"[{'age': 15, 'gender': 'male'}, {'age': 9, 'gender': 'female'}]",1,"[{""featureType"": ""landFarm"", ""position"": [0, 2], ""size"": [2, 2], ""count"": 6, ""farmBiome"": {""position"": [3, 96], ""envi"": ""land"", ""house"": null, ""plant"": ""灌木"", ""animal"": null, ""biomeType"": ""plant""}}]",
23,96,land,house,3,"[{'age': 67, 'gender': 'female'}, {'age': 72, 'gender': 'male'}, {'age': 76, 'gender': 'male'}]",2,"[{""featureType"": ""seaFarm"", ""position"": [0, 2], ""size"": [2, 2], ""count"": 4, ""farmBiome"": {""position"": [23, 96], ""envi"": ""land"", ""house"": null, ""plant"": ""玫瑰"", ""animal"": null, ""biomeType"": ""plant""}}, {""featureType"": ""livestock"", ""position"": [2, 2], ""size"": [2, 2], ""count"": 5, ""farmBiome"": {""position"": [23, 96], ""envi"": ""land"", ""house"": null, ""plant"": null, ""animal"": ""鸭"", ""biomeType"": ""animal""}}]",
23,96,land,house,3,"[{'age': 67, 'gender': 'female'}, {'age': 72, 'gender': 'male'}, {'age': 76, 'gender': 'male'}]",2,"[{""featureType"": ""seaFarm"", ""position"": [0, 2], ""size"": [2, 2], ""count"": 4, ""farmBiome"": {""position"": [23, 96], ""envi"": ""land"", ""house"": null, ""plant"": ""玫瑰"", ""animal"": null, ""biomeType"": ""plant""}}, {""featureType"": ""livestock"", ""position"": [2, 2], ""size"": [2, 2], ""count"": 5, ""farmBiome"": {""position"": [23, 96], ""envi"": ""land"", ""house"": null, ""plant"": null, ""animal"": ""鸭"", ""biomeType"": ""animal""}}]",
34,94,land,house,1,"[{'age': 74, 'gender': 'female'}]",2,"[{""featureType"": ""landFarm"", ""position"": [0, 2], ""size"": [2, 2], ""count"": 5, ""farmBiome"": {""position"": [34, 94], ""envi"": ""land"", ""house"": null, ""plant"": ""玉米"", ""animal"": null, ""biomeType"": ""plant""}}, {""featureType"": ""livestock"", ""position"": [2, 2], ""size"": [2, 2], ""count"": 7, ""farmBiome"": {""position"": [34, 94], ""envi"": ""land"", ""house"": null, ""plant"": null, ""animal"": ""狐狸"", ""biomeType"": ""animal""}}]",
34,94,land,house,1,"[{'age': 74, 'gender': 'female'}]",2,"[{""featureType"": ""landFarm"", ""position"": [0, 2], ""size"": [2, 2], ""count"": 5, ""farmBiome"": {""position"": [34, 94], ""envi"": ""land"", ""house"": null, ""plant"": ""玉米"", ""animal"": null, ""biomeType"": ""plant""}}, {""featureType"": ""livestock"", ""position"": [2, 2], ""size"": [2, 2], ""count"": 7, ""farmBiome"": {""position"": [34, 94], ""envi"": ""land"", ""house"": null, ""plant"": null, ""animal"": ""狐狸"", ""biomeType"": ""animal""}}]",
65,92,land,house,2,"[{'age': 67, 'gender': 'female'}, {'age': 12, 'gender': 'male'}]",1,"[{""featureType"": ""landFarm"", ""position"": [0, 2], ""size"": [2, 2], ""count"": 8, ""farmBiome"": {""position"": [65, 92], ""envi"": ""land"", ""house"": null, ""plant"": ""小麦"", ""animal"": null, ""biomeType"": ""plant""}}]",
65,92,land,house,2,"[{'age': 67, 'gender': 'female'}, {'age': 12, 'gender': 'male'}]",1,"[{""featureType"": ""landFarm"", ""position"": [0, 2], ""size"": [2, 2], ""count"": 8, ""farmBiome"": {""position"": [65, 92], ""envi"": ""land"", ""house"": null, ""plant"": ""小麦"", ""animal"": null, ""biomeType"": ""plant""}}]",
76,96,land,house,3,"[{'age': 7, 'gender': 'female'}, {'age': 2, 'gender': 'female'}, {'age': 3, 'gender': 'male'}]",1,"[{""featureType"": ""landFarm"", ""position"": [0, 2], ""size"": [2, 2], ""count"": 8, ""farmBiome"": {""position"": [76, 96], ""envi"": ""land"", ""house"": null, ""plant"": ""胡萝卜"", ""animal"": null, ""biomeType"": ""plant""}}]",
76,96,land,house,3,"[{'age': 7, 'gender': 'female'}, {'age': 2, 'gender': 'female'}, {'age': 3, 'gender': 'male'}]",1,"[{""featureType"": ""landFarm"", ""position"": [0, 2], ""size"": [2, 2], ""count"": 8, ""farmBiome"": {""position"": [76, 96], ""envi"": ""land"", ""house"": null, ""plant"": ""胡萝卜"", ""animal"": null, ""biomeType"": ""plant""}}]",
82,84,land,house,4,"[{'age': 70, 'gender': 'male'}, {'age': 7, 'gender': 'female'}, {'age': 17, 'gender': 'male'}, {'age': 39, 'gender': 'female'}]",2,"[{""featureType"": ""pond"", ""position"": [0, 2], ""size"": [2, 2], ""count"": 8, ""farmBiome"": {""position"": [82, 84], ""envi"": ""land"", ""house"": null, ""plant"": null, ""animal"": ""羊"", ""biomeType"": ""animal""}}, {""featureType"": ""landFarm"", ""position"": [2, 2], ""size"": [2, 2], ""count"": 5, ""farmBiome"": {""position"": [82, 84], ""envi"": ""land"", ""house"": null, ""plant"": ""土豆"", ""animal"": null, ""biomeType"": ""plant""}}]",
82,84,land,house,4,"[{'age': 70, 'gender': 'male'}, {'age': 7, 'gender': 'female'}, {'age': 17, 'gender': 'male'}, {'age': 39, 'gender': 'female'}]",2,"[{""featureType"": ""pond"", ""position"": [0, 2], ""size"": [2, 2], ""count"": 8, ""farmBiome"": {""position"": [82, 84], ""envi"": ""land"", ""house"": null, ""plant"": null, ""animal"": ""羊"", ""biomeType"": ""animal""}}, {""featureType"": ""landFarm"", ""position"": [2, 2], ""size"": [2, 2], ""count"": 5, ""farmBiome"": {""position"": [82, 84], ""envi"": ""land"", ""house"": null, ""plant"": ""土豆"", ""animal"": null, ""biomeType"": ""plant""}}]",
94,94,land,house,2,"[{'age': 9, 'gender': 'male'}, {'age': 63, 'gender': 'male'}]",2,"[{""featureType"": ""landFarm"", ""position"": [0, 2], ""size"": [2, 2], ""count"": 7, ""farmBiome"": {""position"": [94, 94], ""envi"": ""land"", ""house"": null, ""plant"": ""灌木"", ""animal"": null, ""biomeType"": ""plant""}}, {""featureType"": ""livestock"", ""position"": [2, 2], ""size"": [2, 2], ""count"": 5, ""farmBiome"": {""position"": [94, 94], ""envi"": ""land"", ""house"": null, ""plant"": null, ""animal"": ""牛"", ""biomeType"": ""animal""}}]",
94,94,land,house,2,"[{'age': 9, 'gender': 'male'}, {'age': 63, 'gender': 'male'}]",2,"[{""featureType"": ""landFarm"", ""position"": [0, 2], ""size"": [2, 2], ""count"": 7, ""farmBiome"": {""position"": [94, 94], ""envi"": ""land"", ""house"": null, ""plant"": ""灌木"", ""animal"": null, ""biomeType"": ""plant""}}, {""featureType"": ""livestock"", ""position"": [2, 2], ""size"": [2, 2], ""count"": 5, ""farmBiome"": {""position"": [94, 94], ""envi"": ""land"", ""house"": null, ""plant"": null, ""animal"": ""牛"", ""biomeType"": ""animal""}}]",
94,81,land,house,3,"[{'age': 27, 'gender': 'male'}, {'age': 67, 'gender': 'male'}, {'age': 36, 'gender': 'male'}]",1,"[{""featureType"": ""pond"", ""position"": [0, 2], ""size"": [2, 2], ""count"": 4, ""farmBiome"": {""position"": [94, 81], ""envi"": ""land"", ""house"": null, ""plant"": null, ""animal"": ""牛"", ""biomeType"": ""animal""}}]",
94,81,land,house,3,"[{'age': 27, 'gender': 'male'}, {'age': 67, 'gender': 'male'}, {'age': 36, 'gender': 'male'}]",1,"[{""featureType"": ""pond"", ""position"": [0, 2], ""size"": [2, 2], ""count"": 4, ""farmBiome"": {""position"": [94, 81], ""envi"": ""land"", ""house"": null, ""plant"": null, ""animal"": ""牛"", ""biomeType"": ""animal""}}]",
94,81,land,animal,0,None,0,,野兔
14,96,land,merchant,0,None,0,,
16,93,land,merchant,0,None,0,,
22,94,land,animal,0,None,0,,熊
25,91,land,animal,0,None,0,,鸡
24,88,land,plant,0,None,0,,苹果
29,90,land,merchant,0,None,0,,
23,79,land,animal,0,None,0,,野兔
16,79,land,plant,0,None,0,,枫树
14,77,land,merchant,0,None,0,,
17,70,land,plant,0,None,0,,橡树
3,71,land,merchant,0,None,0,,
4,74,land,merchant,0,None,0,,
12,70,land,animal,0,None,0,,松鼠
2,57,land,merchant,0,None,0,,
6,63,land,merchant,0,None,0,,
5,55,land,merchant,0,None,0,,
10,62,land,merchant,0,None,0,,
15,61,land,plant,0,None,0,,玫瑰
14,52,land,merchant,0,None,0,,
1,45,land,merchant,0,None,0,,
3,50,land,merchant,0,None,0,,
5,41,land,merchant,0,None,0,,
10,42,land,merchant,0,None,0,,
17,38,land,merchant,0,None,0,,
25,35,land,plant,0,None,0,,松树
10,31,land,merchant,0,None,0,,
4,29,land,merchant,0,None,0,,
1,21,land,merchant,0,None,0,,
1,16,land,merchant,0,None,0,,
1,12,land,animal,0,None,0,,松鼠
1,9,land,plant,0,None,0,,小麦
1,5,land,plant,0,None,0,,橡树
4,8,land,plant,0,None,0,,松树
4,13,land,animal,0,None,0,,羊
4,16,land,merchant,0,None,0,,
6,17,land,merchant,0,None,0,,
10,17,land,animal,0,None,0,,熊
7,14,land,animal,0,None,0,,牛
7,12,land,merchant,0,None,0,,
13,25,land,animal,0,None,0,,野兔
12,27,land,animal,0,None,0,,熊
14,26,land,plant,0,None,0,,玫瑰
16,26,land,merchant,0,None,0,,
11,21,land,plant,0,None,0,,葡萄藤
13,22,land,merchant,0,None,0,,
10,2,land,plant,0,None,0,,红蘑菇
13,2,land,animal,0,None,0,,野兔
16,2,land,plant,0,None,0,,卷心菜
17,10,land,merchant,0,None,0,,
19,17,land,merchant,0,None,0,,
26,19,land,plant,0,None,0,,玉米
34,23,land,merchant,0,None,0,,
31,26,land,animal,0,None,0,,鹿
40,21,land,plant,0,None,0,,红蘑菇
28,20,land,merchant,0,None,0,,
41,17,land,animal,0,None,0,,狐狸
46,16,land,animal,0,None,0,,松鼠
46,10,land,animal,0,None,0,,羊
55,11,land,merchant,0,None,0,,
47,2,land,animal,0,None,0,,野兔
52,3,land,plant,0,None,0,,橡树
53,6,land,merchant,0,None,0,,
63,4,land,merchant,0,None,0,,
56,3,land,plant,0,None,0,,白蘑菇
61,6,land,animal,0,None,0,,狐狸
71,2,land,animal,0,None,0,,野兔
64,3,land,merchant,0,None,0,,
61,31,land,animal,0,None,0,,牛
59,28,land,animal,0,None,0,,熊
61,27,land,merchant,0,None,0,,
63,25,land,plant,0,None,0,,苹果
66,29,land,merchant,0,None,0,,
75,24,land,merchant,0,None,0,,
74,18,land,plant,0,None,0,,卷心菜
75,15,land,animal,0,None,0,,野兔
85,17,land,plant,0,None,0,,红蘑菇
85,25,land,animal,0,None,0,,松鼠
81,22,land,plant,0,None,0,,松树
81,19,land,merchant,0,None,0,,
84,12,land,animal,0,None,0,,野兔
86,8,land,merchant,0,None,0,,
91,6,land,animal,0,None,0,,羊
95,4,land,plant,0,None,0,,白蘑菇
96,9,land,merchant,0,None,0,,
96,13,land,merchant,0,None,0,,
91,17,land,merchant,0,None,0,,
87,21,land,merchant,0,None,0,,
93,32,land,plant,0,None,0,,卷心菜
96,32,land,merchant,0,None,0,,
96,30,land,animal,0,None,0,,猪
89,28,land,merchant,0,None,0,,
89,34,land,merchant,0,None,0,,
86,38,land,merchant,0,None,0,,
80,38,land,plant,0,None,0,,葡萄藤
73,34,land,plant,0,None,0,,玫瑰
72,39,land,merchant,0,None,0,,
74,42,land,plant,0,None,0,,小麦
80,42,land,plant,0,None,0,,铃兰
87,46,land,merchant,0,None,0,,
86,48,land,animal,0,None,0,,猪
84,51,land,animal,0,None,0,,熊
92,54,land,merchant,0,None,0,,
96,53,land,animal,0,None,0,,羊
96,47,land,animal,0,None,0,,野兔
98,39,land,merchant,0,None,0,,
92,39,land,plant,0,None,0,,白蘑菇
92,59,land,plant,0,None,0,,铃兰
96,62,land,plant,0,None,0,,苹果
92,64,land,merchant,0,None,0,,
89,65,land,animal,0,None,0,,野兔
84,69,land,plant,0,None,0,,胡萝卜
84,63,land,merchant,0,None,0,,
76,61,land,animal,0,None,0,,鸭
75,56,land,plant,0,None,0,,苹果
75,52,land,animal,0,None,0,,熊
80,57,land,animal,0,None,0,,鸡
73,45,land,plant,0,None,0,,白蘑菇
71,75,land,merchant,0,None,0,,
68,66,land,plant,0,None,0,,枫树
74,65,land,plant,0,None,0,,玉米
69,72,land,plant,0,None,0,,玫瑰
58,72,land,plant,0,None,0,,松树
58,76,land,plant,0,None,0,,苹果
59,77,land,animal,0,None,0,,猪
64,73,land,plant,0,None,0,,红蘑菇
64,70,land,merchant,0,None,0,,
62,75,land,plant,0,None,0,,白蘑菇
49,76,land,animal,0,None,0,,鸡
48,83,land,merchant,0,None,0,,
46,78,land,merchant,0,None,0,,
38,75,land,merchant,0,None,0,,
37,73,land,merchant,0,None,0,,
53,80,land,merchant,0,None,0,,
55,77,land,animal,0,None,0,,牛
57,91,land,merchant,0,None,0,,
62,89,land,animal,0,None,0,,羊
73,89,land,plant,0,None,0,,橡树
74,92,land,plant,0,None,0,,红蘑菇
87,96,land,animal,0,None,0,,鹿
90,89,land,plant,0,None,0,,白蘑菇
88,82,land,merchant,0,None,0,,
89,76,land,plant,0,None,0,,葡萄藤
95,74,land,plant,0,None,0,,卷心菜
78,84,land,merchant,0,None,0,,
78,92,land,plant,0,None,0,,玉米
84,92,land,animal,0,None,0,,牛
90,91,land,merchant,0,None,0,,
93,91,land,plant,0,None,0,,玫瑰
94,90,land,merchant,0,None,0,,
95,89,land,plant,0,None,0,,玫瑰
82,82,land,merchant,0,None,0,,
73,83,land,plant,0,None,0,,枫树
62,89,land,plant,0,None,0,,红蘑菇
64,87,land,plant,0,None,0,,玫瑰
70,85,land,plant,0,None,0,,小麦
69,91,land,plant,0,None,0,,玫瑰
74,98,land,merchant,0,None,0,,
72,96,land,plant,0,None,0,,卷心菜
85,98,land,plant,0,None,0,,枫树
86,93,land,plant,0,None,0,,卷心菜
88,96,land,plant,0,None,0,,葡萄藤
90,96,land,merchant,0,None,0,,
75,72,land,animal,0,None,0,,牛
73,60,land,merchant,0,None,0,,
72,51,land,plant,0,None,0,,白蘑菇
76,43,land,plant,0,None,0,,小麦
75,34,land,merchant,0,None,0,,
74,33,land,merchant,0,None,0,,
77,30,land,merchant,0,None,0,,
72,25,land,animal,0,None,0,,鸭
69,20,land,plant,0,None,0,,枫树
70,18,land,merchant,0,None,0,,
69,23,land,plant,0,None,0,,灌木
50,10,land,animal,0,None,0,,鹿
51,12,land,plant,0,None,0,,铃兰
10,58,land,merchant,0,None,0,,
16,56,land,animal,0,None,0,,牛
16,66,land,plant,0,None,0,,玫瑰
9,74,land,animal,0,None,0,,鸡
10,89,land,animal,0,None,0,,松鼠
10,85,land,animal,0,None,0,,松鼠
25,84,land,plant,0,None,0,,白蘑菇
22,83,land,merchant,0,None,0,,
17,6,land,merchant,0,None,0,,
14,6,land,plant,0,None,0,,小麦
50,93,sea,animal,0,None,0,,青蛙
53,97,sea,animal,0,None,0,,鸭子
51,98,sea,animal,0,None,0,,皮皮虾
52,96,sea,animal,0,None,0,,三文鱼
57,97,sea,plant,0,None,0,,芦苇
44,94,sea,animal,0,None,0,,三文鱼
44,91,sea,animal,0,None,0,,三文鱼
44,89,sea,merchant,0,None,0,,
46,88,sea,animal,0,None,0,,鸭子
39,84,sea,animal,0,None,0,,鸭子
36,80,sea,plant,0,None,0,,水稻
29,77,sea,animal,0,None,0,,鲫鱼
31,75,sea,merchant,0,None,0,,
31,79,sea,plant,0,None,0,,水稻
32,76,sea,animal,0,None,0,,三文鱼
27,64,sea,plant,0,None,0,,水葱
23,64,sea,animal,0,None,0,,青蛙
23,68,sea,merchant,0,None,0,,
